"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.51099826547867e-159,4.23989159521839,0.454,0.038,3.11991534485725e-155,"0","Kcnj8"
2.40196365830481e-111,3.40720232270196,0.42,0.072,2.98443984544373e-107,"0","Klrb1c"
8.46550648770685e-112,2.9014252118711,0.486,0.115,1.05183918109758e-107,"0","S1pr5"
3.05941811710633e-61,2.59185786630929,0.335,0.088,3.80132701050461e-57,"0","Klre1"
2.03200714235901e-216,2.55925218843828,0.876,0.328,2.52476887438107e-212,"0","Zeb2"
4.3663260260605e-55,2.45744685480583,0.334,0.1,5.42516008738017e-51,"0","As3mt"
1.92542455443858e-72,1.83106761483488,0.519,0.196,2.39234000888993e-68,"0","Klrg1"
8.52993926257266e-36,1.80101082117006,0.361,0.174,1.05984495337465e-31,"0","Borcs7"
2.20589028431897e-119,1.79482376350046,0.747,0.308,2.74081867826632e-115,"0","Cx3cr1"
7.57397935853371e-32,1.7519451331417,0.354,0.185,9.41066935297814e-28,"0","Sgk1"
2.35876520581238e-116,4.63961510406814,0.315,0.018,2.93076576822188e-112,"1","2900026A02Rik"
1.53584821295226e-134,4.27286850564686,0.388,0.029,1.90829140459319e-130,"1","Sept4"
3.77717579626385e-158,4.17024525167874,0.466,0.041,4.69314092685783e-154,"1","Cd244a"
1.2981799118523e-276,4.0093257944326,0.921,0.272,1.61298854047648e-272,"1","Cd7"
2.70005453541118e-113,3.98830944427491,0.346,0.03,3.35481776024839e-109,"1","Chn2"
3.20023907436145e-80,3.73499905128403,0.267,0.027,3.97629704989411e-76,"1","Adgrg1"
7.63309279794655e-207,3.54270215372682,0.728,0.137,9.48411780144859e-203,"1","Rgs1"
7.8454983292518e-114,3.5130851433912,0.415,0.058,9.74803167409537e-110,"1","Actn2"
4.49465683056144e-71,3.26251051604004,0.346,0.072,5.58461111197259e-67,"1","Gm36723"
1.80622955993189e-120,3.09125510716938,0.575,0.138,2.24424022821537e-116,"1","Ccl3"
2.84203216552612e-99,3.59553364175342,0.278,0.015,3.5312249656662e-95,"2","Ube2c"
6.22434016766914e-125,2.72792492937474,0.494,0.059,7.73374265832891e-121,"2","Itgax"
6.40673984724641e-61,2.1216303235094,0.333,0.058,7.96037426020366e-57,"2","AA467197"
1.46963554016703e-56,2.00910594043324,0.292,0.048,1.82602215865753e-52,"2","Tnfrsf13b"
9.49766048512846e-64,1.95237689792588,0.47,0.119,1.18008431527721e-59,"2","Apobec2"
6.17459694447291e-124,1.93970248686713,0.905,0.35,7.67193670350759e-120,"2","Plac8"
2.40553774333386e-50,1.83188047969174,0.439,0.131,2.98888064609233e-46,"2","Ctla2b"
1.7819966396132e-43,1.74812241907254,0.252,0.046,2.21413082471941e-39,"2","Fhl2"
6.41451806525673e-69,1.65949325889383,0.539,0.137,7.97003869608149e-65,"2","Wdr95"
8.47722351591259e-44,1.58155039765444,0.359,0.093,1.05329502185214e-39,"2","Gstp3"
2.47872893781831e-92,2.82835881109631,0.497,0.092,3.07982070523925e-88,"3","Gpr183"
8.79003874270517e-176,2.80506187021301,0.866,0.181,1.09216231378112e-171,"3","Il7r"
5.33903923702067e-53,2.17786104124799,0.38,0.087,6.63375625199818e-49,"3","Gzmm"
2.49796683817549e-48,1.94817076567758,0.374,0.091,3.10372379643305e-44,"3","Kbtbd11"
1.63057616876948e-35,1.55709585944515,0.417,0.144,2.02599088969608e-31,"3","Sidt1"
1.03472759004398e-69,1.54244591156106,0.666,0.195,1.28564903062964e-65,"3","Tcf7"
2.1245437894429e-20,1.37884762482143,0.263,0.09,2.63974565838281e-16,"3","Ier3"
1.58333744720713e-51,1.334130857836,0.743,0.334,1.96729677815486e-47,"3","Emb"
1.26717458211748e-21,1.30112731801081,0.314,0.117,1.57446441828097e-17,"3","Crtam"
5.87404180908948e-24,1.26818766930606,0.317,0.112,7.29849694779367e-20,"3","Ms4a4c"
2.78703827890063e-18,2.08584937097155,0.291,0.094,3.46289506153404e-14,"4","Rom1"
6.04461150714197e-51,1.76469627851426,0.918,0.458,7.5104297976239e-47,"4","Lgals3"
1.67895236310374e-13,1.55874489584773,0.297,0.113,2.0860983111564e-09,"4","Tmem37"
2.0397822268244e-14,1.55855396672775,0.39,0.18,2.53442941682932e-10,"4","Fkbp5"
8.65702017963821e-14,1.54316571671124,0.445,0.228,1.07563475732005e-09,"4","Cdk6"
7.16105659576796e-13,1.52323522926621,0.308,0.125,8.89761282024169e-09,"4","Rap1gap2"
1.83499462786748e-31,1.46514410493006,0.775,0.446,2.27998082512535e-27,"4","Prex1"
2.58880727671918e-26,1.37193344691707,0.731,0.414,3.21659304132358e-22,"4","Pglyrp1"
2.91399790346492e-32,1.36657857742977,0.852,0.556,3.62064239505517e-28,"4","Pim1"
2.37587205671822e-12,1.31857429356146,0.423,0.22,2.95202103047239e-08,"4","Ubash3b"
2.93133974947967e-150,7.64978168395685,0.293,0.001,3.64218963872849e-146,"5","Ccr6"
8.7935305327839e-186,5.77865491924915,0.459,0.011,1.0925961686984e-181,"5","Id3"
1.07015787069437e-166,5.74440086468193,0.431,0.012,1.32967115433776e-162,"5","Xcl1"
3.24126554729248e-87,4.27185352095909,0.304,0.017,4.02727244251091e-83,"5","Cxcl10"
5.11469173585864e-144,4.16652698467315,0.569,0.042,6.35500448180436e-140,"5","Tnfsf8"
6.32987210978916e-157,3.95186465371249,0.917,0.166,7.86486609641303e-153,"5","Slamf6"
8.94355528642077e-90,3.81769249564945,0.398,0.034,1.11123674433778e-85,"5","Slfn5"
2.87682969245187e-98,3.79371143143429,0.365,0.023,3.57446089287145e-94,"5","Nsg2"
1.88671366308753e-116,3.54605244825011,0.685,0.099,2.34424172638626e-112,"5","Ms4a4c"
4.74915309198337e-49,3.16397187982656,0.287,0.035,5.90082271678934e-45,"5","Adk"
5.68914897994136e-136,11.4148041050055,0.273,0.001,7.06876760757714e-132,"6","Kcnj10"
2.22353567882505e-239,9.82628313388556,0.527,0.003,2.76274308094012e-235,"6","Fcna"
4.73195616268e-138,9.68739812982492,0.291,0.001,5.8794555321299e-134,"6","Sirpa"
8.48103091559179e-198,9.48728757152664,0.473,0.004,1.05376809126228e-193,"6","Mpeg1"
1.38942902484982e-111,9.44838896193152,0.255,0.002,1.72636556337591e-107,"6","Adgre1"
1.14309976900402e-183,9.36850424687814,0.4,0.002,1.4203014629875e-179,"6","Csf1r"
3.4722529227227e-154,9.24871105989772,0.345,0.002,4.31427425648296e-150,"6","Ctsh"
3.37357735000056e-123,9.17478652514315,0.309,0.003,4.1916698573757e-119,"6","Fcgr4"
8.45725256971106e-215,8.9458944742907,0.6,0.007,1.0508136317866e-210,"6","Vcam1"
1.26830067061219e-131,8.92811046832053,0.345,0.004,1.57586358323565e-127,"6","Igf1"
8.63527734794705e-155,10.0198937455842,0.291,0,1.07293321048242e-150,"7","Pbk"
1.75237846206379e-195,9.55401791279956,0.364,0,2.17733023911426e-191,"7","Esco2"
4.34560331113492e-156,9.24554057124631,0.309,0.001,5.39941211408514e-152,"7","Cdc6"
2.61309003726085e-176,8.98335558848894,0.345,0.001,3.2467643712966e-172,"7","Neil3"
5.8217439903027e-138,8.06280962110906,0.327,0.002,7.2335169079511e-134,"7","Hist1h3c"
5.86892064179208e-138,7.7143682474006,0.291,0.001,7.29213389742665e-134,"7","E2f8"
1.89286778070495e-163,7.57203819166889,0.364,0.002,2.3518882175259e-159,"7","Mxd3"
3.09991569882223e-180,7.55366346365244,0.382,0.002,3.85164525578662e-176,"7","Hist1h2ab"
7.57372867979321e-142,6.94333060212655,0.727,0.03,9.41035788464307e-138,"7","Pclaf"
6.11723606027269e-128,6.77255006229158,0.309,0.002,7.60066580488882e-124,"7","Chek1"
